37658874.5814668,36846473.3112872,35831220.6846328,34623831.7622467,33229734.2305179,31688939.7010653,29995657.3440316,28206357.5770753,26321700.2826422,24373582.8640506,22391370.5463174,20395260.4825975,18423526.8601062,16497374.988025,14657258.7966461,12914647.0660622,11259266.9896689,9687092.10899005,8211747.37807079,6794826.70568769,5445057.242968,4168890.04202948,2990983.9398367,1925184.75683216,1000179.96640446,213166.122008762,-342835.94054376,-660033.978202403,-705508.569293939,-490615.449706001,29979.8212233663,800005.846056776,1801803.55943254,2992469.87022729,4310025.99819775,5698099.01591202,7151527.92886058,8699232.22361839,10304548.6301792,11980017.6006703,13653329.2723491,15346867.6680128,16987006.7981337,18533558.8602227,19997427.2914829,21343454.3559306,22532255.777627,23586529.3353923,24506209.2879089
36778441.5459188,36365554.4874098,35689082.6548587,34742558.7516044,33542317.8673447,32119072.6636596,30464289.149854,28632822.3062106,26650070.3267226,24523460.5193066,22306054.1506386,20026051.6744882,17747384.1358658,15504020.8363818,13350225.313829,11271051.029787,9237041.39701014,7254475.37938967,5300368.52775691,3346885.71159081,1379995.7039896,-528507.924006201,-2395332.23957879,-4145429.79147778,-5736818.84029131,-7169691.28030724,-8286632.2147782,-9041748.08723293,-9356160.39684632,-9246466.40539565,-8701049.18253108,-7704168.35948117,-6315716.16730708,-4601593.29773857,-2637852.70350411,-497535.468929867,1760935.5461675,4111517.23767742,6475578.95390477,8836970.43979588,11157974.0344114,13457893.0578158,15668376.3106377,17748656.9350034,19699331.2346717,21485848.7419729,23080216.9869072,24495238.2435298,25737933.2058454
35376213.9163112,35587043.8335874,35469890.1825254,35007031.8816073,34176788.9786644,33012101.3263624,31518535.1125831,29748849.6674036,27728283.9542555,25480718.4700807,23072646.6802858,20547389.3291793,17985814.2884536,15421912.8772024,12909085.2301376,10443136.4132463,8003277.65510324,5555750.58227083,3069677.47462571,498307.115560943,-2160619.31130856,-4853347.15626413,-7584912.80188759,-10215197.0759969,-12717497.0156084,-15055238.2785851,-17022122.3245269,-18502352.4191668,-19410717.7625328,-19685051.1532621,-19269849.9062984,-18220645.1615549,-16567664.1267551,-14351437.2480109,-11668483.7661375,-8701940.25262353,-5519519.58024955,-2248120.95784171,1019175.41509048,4169891.61520756,7176984.16291409,10059850.1228007,12798783.1908244,15373142.0679638,17802867.4415314,20072746.9611751,22174500.3888818,24105859.2234957,25874125.0828751
33359507.1705445,34377187.5373652,35016663.6097605,35210224.201553,34917322.6915656,34168985.4096429,32969701.1697766,31373524.7499516,29420025.8068488,27134593.2031093,24589626.1882261,21855426.0352211,19005283.1835623,16109870.1919636,13255811.6735077,10451125.9239446,7655387.00764716,4825373.63216842,1863503.06765757,-1282160.0952772,-4645340.56130366,-8203961.2896441,-11989931.1327029,-15788051.0109361,-19536468.6617236,-23125816.8019039,-26296492.8173625,-28833633.4601013,-30530022.7431331,-31291880.6795695,-31066185.6848955,-29910665.964182,-27914207.2168627,-25144032.5732837,-21780229.1521264,-18023863.5011571,-14022862.2331453,-9926324.89766622,-5882100.81769873,-2035103.82628021,1595247.68994072,5003321.75819044,8214958.67905762,11260969.1419897,14170679.9685641,16973677.4144661,19691625.045851,22309471.3693108,24792503.1471601
30116570.3080433,31990614.9330164,33481189.1122507,34463624.5767347,34857997.1790401,34702640.3325994,34001784.042491,32798321.576949,31110806.0941858,28976795.1323688,26452499.7977793,23631903.1886723,20601467.7851743,17456875.662822,14294158.6876843,11145642.887082,8020068.73006447,4858674.6443962,1514770.30385084,-2111900.85660283,-6103354.72295053,-10517532.6389176,-15372475.2335828,-20509316.6061981,-25792659.1918526,-30903300.9868633,-35425319.2262008,-39085618.6133733,-41479418.3924187,-42485403.5686695,-42201641.9339466,-40723685.0675455,-38274293.3377238,-34972455.5572656,-31051104.9238064,-26728989.0965829,-22190588.4361489,-17617885.8976914,-13169717.4116526,-8989529.68603081,-5076529.97908663,-1357538.84368995,2186585.47624805,5640464.83150134,9073031.58928963,12515247.6929338,15978300.5216998,19422027.759758,22740161.623612
25229223.5464369,27783061.7481028,30017499.5684451,31759973.9253594,32914202.3161708,33486210.469546,33480134.8663995,32900775.4407459,31760945.1962597,30053630.7322824,27821025.188445,25132619.5875347,22094431.3856153,18826614.4524964,15485413.1643102,12126823.1907676,8804886.09707183,5410301.19471044,1801427.97026528,-2167484.9433308,-6637221.62722572,-11678950.336283,-17375851.4432067,-23533261.8583245,-29990508.9805946,-36297990.0072106,-41952538.8375365,-46433170.145752,-49224205.335463,-50213012.2743866,-49621711.3015742,-47754826.1654692,-44988618.7064391,-41507087.0577725,-37556445.5878373,-33226869.7835651,-28717752.9039874,-24157257.0782065,-19728036.983573,-15496691.925076,-11467995.3227436,-7599393.84428968,-3863312.71081136,-86781.1521420004,3824948.51367963,7887445.46011505,12045199.4513605,16243128.0438915,20306916.6366044
19551844.6479589,22529136.9317553,25295007.64688,27647067.9007519,29471254.4820859,30751577.3867484,31479293.1071899,31654021.5186434,31215690.0556377,30137909.5049317,28408211.6079967,26050205.2995841,23193983.6317845,19990717.6985151,16624322.0175663,13202823.7413283,9781429.49264369,6278462.47129652,2567350.48330424,-1510788.39060974,-6088222.78299225,-11284502.4717507,-17149482.5068906,-23598506.8379385,-30403765.2674385,-37108686.7923103,-43131108.9561368,-47838050.6089648,-50731154.9946897,-51680446.691067,-50885822.5803236,-48897219.3470574,-46232298.7660475,-43183763.9814205,-39874175.5584837,-36280087.7542037,-32442819.9036809,-28411489.1285762,-24284876.1424234,-20122995.4782606,-16006991.9277402,-11958574.9375607,-7951798.31398103,-3850924.85163399,433874.659201496,4922225.16676662,9543216.30800979,14181010.2820253,18671202.4488648
14297526.9769744,17402964.8874834,20400774.4532489,23079264.0893717,25318995.9710309,27108608.0532782,28440217.6633817,29270982.5522044,29516139.2212206,29102911.2895873,27940969.1186461,26050276.8261936,23541902.1101144,20590096.3189555,17399185.9860763,14090211.9573254,10740795.2153297,7296701.88042941,3695177.00562819,-179301.512048703,-4497400.70275452,-9315194.55176505,-14752983.9674531,-20757140.3321462,-27125443.7157385,-33417139.6719312,-39071665.3731267,-43567788.884143,-46399137.7299998,-47440204.6503461,-46903096.3155072,-45296679.2163465,-43160431.3890145,-40832022.1429198,-38498720.1505934,-36036765.6077021,-33268635.2683142,-30073100.4167226,-26421958.5169123,-22418067.7065548,-18203297.7599256,-13929523.2106335,-9632210.72175338,-5228689.32933758,-695719.846293851,3972404.18514755,8735610.24500694,13492874.8996316,18095325.7118479
10010032.5897306,13000712.7369318,15953459.548259,18689089.4843307,21101677.8714209,23161744.1994614,24881964.725023,26174535.6402924,26940669.7300228,27060536.219424,26428494.5004489,25032270.6151586,22979783.5412159,20433343.4665425,17567794.0927308,14504843.9676285,11356219.3246623,8124049.67891016,4817467.21231925,1335999.60105841,-2434988.69422675,-6612749.13739077,-11249849.4056368,-16325150.1816902,-21745660.480424,-27174041.8247824,-32172581.5424492,-36276846.7582294,-39051288.5939183,-40389866.1047816,-40405874.9514415,-39509511.5173175,-38176003.7222164,-36719521.8950917,-35256813.0467886,-33632953.90899,-31627266.8666922,-29081496.8487581,-25970832.7683341,-22273620.0123089,-18123466.7817762,-13772026.5813015,-9323376.3463843,-4783691.36784154,-167697.197629628,4530138.4782604,9266388.51130149,13918576.025517,18370982.8495092
6508456.30713126,9263440.62855338,12024343.2421787,14663687.5596012,17094680.8087501,19276370.5231023,21171701.4667434,22692386.5057964,23736262.8280133,24218013.1475397,24029668.3421343,23117511.3385676,21540963.1043264,19439733.0287611,16946107.5931042,14197819.7458439,11314792.7855912,8383402.24602374,5421351.64732476,2412699.54989001,-767348.54827378,-4199349.9376142,-7965678.60520785,-12034835.4226846,-16298327.0377513,-20597430.1594171,-24751969.8488259,-28360751.491466,-31091495.3597642,-32752308.3051065,-33395933.8265277,-33311162.2389755,-32845358.5310566,-32196609.8344647,-31337250.6362486,-30176286.8450399,-28541903.0458735,-26367074.6807968,-23607246.6319783,-20248958.5499384,-16345733.031334,-12082670.3102221,-7688768.84721164,-3219001.77434665,1259511.1692042,5812752.22324528,10372525.7330236,14835361.6233374,19078220.5843526
