Year,Month,Day,UWnd
1900,8,20,16.575369
1900,8,21,15.972299
1900,8,22,14.951797
1900,8,23,14.131729
1900,8,24,14.257486
1900,8,25,14.648633
1900,8,26,15.650406
1900,8,27,15.446322
1900,8,28,13.999239
1900,8,29,13.205173
1900,8,30,13.470288
1900,8,31,13.698496
1900,9,1,14.199593
1900,9,2,13.850395
1900,9,3,13.377648
1900,9,4,13.413151
1900,9,5,14.287824
1900,9,6,15.297657
1900,9,7,16.425892
1900,9,8,17.537359
1900,9,9,17.749926
1900,9,10,17.894197
1900,9,11,18.252411
1900,9,12,18.490391
1900,9,13,17.927992
1900,9,14,17.101257
1900,9,15,15.909647
1900,9,16,17.300209
1900,9,17,16.701799
1900,9,18,17.535154
1900,9,19,18.243126
1900,9,20,17.738541
1900,9,21,17.381001
1900,9,22,16.992401
1900,9,23,15.996414
1900,9,24,14.865238
1900,9,25,15.343079
1900,9,26,16.806318
1900,9,27,18.114769
1900,9,28,17.625959
1900,9,29,16.555571
1900,9,30,16.615427
1900,10,1,17.996815
1900,10,2,18.188723
1900,10,3,17.186136
1900,10,4,17.579639
1900,10,5,18.948639
1900,10,6,19.285879
1900,10,7,18.399242
1900,10,8,19.134193
1900,10,9,20.457239
1900,10,10,20.28709
1900,10,11,20.26841
1900,10,12,20.806932
1900,10,13,20.80899
1900,10,14,20.451365
1900,10,15,20.239037
1900,10,16,20.849167
1900,10,17,21.471832
1900,10,18,20.998886
1900,10,19,20.978172
1900,10,20,21.305027
1900,10,21,19.249001
1900,10,22,17.839592
1900,10,23,20.034649
1900,10,24,21.140732
1900,10,25,22.277214
1900,10,26,22.083828
1900,10,27,19.337164
1900,10,28,17.246557
1900,10,29,18.036865
1900,10,30,16.911087
1900,10,31,16.824568
1900,11,1,18.499954
1900,11,2,21.200588
1900,11,3,23.306664
1900,11,4,23.58242
1900,11,5,24.532688
1900,11,6,24.542915
1900,11,7,22.262093
1900,11,8,24.225687
1900,11,9,24.531652
1900,11,10,21.864962
1900,11,11,20.404764
1900,11,12,22.432125
1900,11,13,23.713732
1900,11,14,25.723469
1900,11,15,29.616777
1900,11,16,31.038782
1900,11,17,30.538086
1900,11,18,30.295366
1900,11,19,29.006174
1900,11,20,26.83585
1900,11,21,27.173405
1900,11,22,29.74847
1900,11,23,31.7637
1900,11,24,30.93158
1900,11,25,29.151289
1900,11,26,30.591867
1900,11,27,27.782902
1900,11,28,20.79578
1900,11,29,21.473381
1900,11,30,21.690668
1900,12,1,21.301331
1900,12,2,22.583588
1900,12,3,23.06988
1900,12,4,23.546268
1900,12,5,22.757696
1900,12,6,22.056725
1900,12,7,21.206539
1900,12,8,21.462677
1900,12,9,24.193001
1900,12,10,24.566498
1900,12,11,23.819336
1900,12,12,24.643745
1900,12,13,26.653433
1900,12,14,27.233498
1900,12,15,27.002697
1900,12,16,25.040606
1900,12,17,26.027323
1900,12,18,25.405319
1900,12,19,24.961536
