Year,Month,Day,UWnd
1941,2,24,15.435328
1941,2,25,14.559533
1941,2,26,14.643893
1941,2,27,14.895336
1941,2,28,16.584842
1941,3,1,17.166749
1941,3,2,16.569838
1941,3,3,15.448229
1941,3,4,16.538852
1941,3,5,17.618147
1941,3,6,15.889703
1941,3,7,15.404666
1941,3,8,16.237482
1941,3,9,14.717276
1941,3,10,12.992094
1941,3,11,10.093393
1941,3,12,7.8331468
1941,3,13,8.8267827
1941,3,14,13.706194
1941,3,15,18.889154
1941,3,16,19.886086
1941,3,17,18.422492
1941,3,18,13.866863
1941,3,19,9.175302
1941,3,20,9.1152438
1941,3,21,10.658557
1941,3,22,12.200441
1941,3,23,13.608778
1941,3,24,14.850166
1941,3,25,15.553585
1941,3,26,15.644139
1941,3,27,14.095842
1941,3,28,14.42456
1941,3,29,13.794686
1941,3,30,12.18625
1941,3,31,11.616261
1941,4,1,9.6941386
1941,4,2,8.803555
1941,4,3,9.5462838
1941,4,4,10.885349
1941,4,5,12.515682
1941,4,6,11.087443
1941,4,7,10.594909
1941,4,8,9.5263144
1941,4,9,7.7691899
1941,4,10,8.331548
1941,4,11,8.4441417
1941,4,12,12.818698
1941,4,13,17.089852
1941,4,14,17.864886
1941,4,15,18.654401
1941,4,16,18.251173
1941,4,17,17.779307
1941,4,18,17.694203
1941,4,19,18.469405
1941,4,20,18.735709
1941,4,21,19.848149
1941,4,22,19.925447
1941,4,23,18.962703
1941,4,24,18.209979
1941,4,25,16.782903
1941,4,26,13.348462
1941,4,27,12.669706
1941,4,28,13.29395
1941,4,29,11.98164
1941,4,30,9.9668271
1941,5,1,8.7841394
1941,5,2,7.7596292
1941,5,3,9.3875266
1941,5,4,11.1148
1941,5,5,12.576387
1941,5,6,11.57174
1941,5,7,10.561288
1941,5,8,9.1169043
1941,5,9,8.1706828
1941,5,10,6.6282548
1941,5,11,5.8923384
1941,5,12,6.7069996
1941,5,13,8.2356159
1941,5,14,10.84876
1941,5,15,13.251845
1941,5,16,14.056931
1941,5,17,13.622168
1941,5,18,14.691437
1941,5,19,15.442802
1941,5,20,16.51284
1941,5,21,18.267029
1941,5,22,19.622934
1941,5,23,21.535108
1941,5,24,20.566574
1941,5,25,17.743632
1941,5,26,14.556177
1941,5,27,12.735336
1941,5,28,11.769755
1941,5,29,8.9390131
1941,5,30,7.7742042
1941,5,31,7.9058537
1941,6,1,7.776939
1941,6,2,7.5871262
1941,6,3,7.4316375
1941,6,4,9.2498329
1941,6,5,11.421188
1941,6,6,12.038305
1941,6,7,13.494584
1941,6,8,14.337878
1941,6,9,14.947567
1941,6,10,13.30986
1941,6,11,10.044398
1941,6,12,10.234179
1941,6,13,11.628528
1941,6,14,12.423377
1941,6,15,12.488633
1941,6,16,13.021056
1941,6,17,14.988992
1941,6,18,15.879041
1941,6,19,16.112146
1941,6,20,14.960963
1941,6,21,13.915143
1941,6,22,14.620106
1941,6,23,14.154835
1941,6,24,14.059233
1941,6,25,14.466115
1941,6,26,13.734626
1941,6,27,13.363302
1941,6,28,13.313316
1941,6,29,12.773778
1941,6,30,14.46445
1941,7,1,15.779276
1941,7,2,16.105886
1941,7,3,15.917602
1941,7,4,15.816134
1941,7,5,16.456577
1941,7,6,16.939639
1941,7,7,15.89991
1941,7,8,16.289996
1941,7,9,16.177713
1941,7,10,15.889951
1941,7,11,15.944486
1941,7,12,14.870327
1941,7,13,13.892833
1941,7,14,13.365248
1941,7,15,13.53324
1941,7,16,13.934281
1941,7,17,13.101977
1941,7,18,12.978233
1941,7,19,13.352111
1941,7,20,13.154452
1941,7,21,14.188913
1941,7,22,14.827609
1941,7,23,13.972481
1941,7,24,12.228803
1941,7,25,12.218827
1941,7,26,12.750552
1941,7,27,12.483752
1941,7,28,11.270031
1941,7,29,10.498134
1941,7,30,10.59972
1941,7,31,10.322741
1941,8,1,9.7845646
1941,8,2,9.9097058
1941,8,3,10.381776
1941,8,4,11.514539
1941,8,5,11.467351
1941,8,6,11.802667
1941,8,7,14.401364
1941,8,8,16.099046
1941,8,9,16.748331
1941,8,10,16.313834
1941,8,11,15.902262
1941,8,12,15.516845
1941,8,13,14.134172
1941,8,14,14.581831
1941,8,15,14.803974
1941,8,16,16.220723
1941,8,17,16.985242
1941,8,18,16.332252
1941,8,19,16.015958
1941,8,20,17.555467
1941,8,21,18.162033
1941,8,22,17.923463
1941,8,23,17.328327
1941,8,24,17.729424
1941,8,25,17.788363
1941,8,26,18.73671
1941,8,27,19.762348
1941,8,28,20.969423
1941,8,29,21.479275
1941,8,30,21.285701
1941,8,31,20.002465
1941,9,1,19.800575
1941,9,2,19.145452
1941,9,3,16.927722
1941,9,4,16.137727
1941,9,5,14.728717
1941,9,6,13.984865
1941,9,7,13.672874
1941,9,8,14.642764
1941,9,9,15.8246
1941,9,10,14.327947
1941,9,11,13.164881
1941,9,12,11.902312
1941,9,13,11.905596
1941,9,14,13.318655
1941,9,15,14.430104
1941,9,16,16.978509
1941,9,17,16.783755
1941,9,18,16.607275
1941,9,19,14.507711
1941,9,20,16.121034
1941,9,21,18.550414
1941,9,22,18.734734
1941,9,23,20.058859
1941,9,24,22.377565
1941,9,25,23.053621
1941,9,26,24.070982
1941,9,27,25.99386
1941,9,28,27.953295
1941,9,29,28.498696
1941,9,30,27.745487
1941,10,1,26.365733
