Year,Month,Tin,Tout
1863,9,-1.1576667,-0.035362121
1863,10,-4.2888333,-2.1203636
1863,11,-1.439,-0.80604924
1863,12,-0.0085,-0.75144091
1864,1,-0.48233333,-0.053869444
1864,2,0.969125,1.616575
1864,3,-2.8552083,-1.6121056
1864,4,-2.6724583,-1.3053694
1864,5,-0.5505,1.2018111
1864,6,-0.21033333,0.19930833
1864,7,0.7755,0.6751601
1864,8,0.032395833,1.3782389
1864,9,0.12133333,0.24937071
1864,10,-3.0633333,-2.478001
1864,11,-1.1364167,-1.7630194
1864,12,-1.2431667,-1.0201556
1865,1,-1.6060833,-1.1759833
1865,2,1.2035,0.13318333
1865,3,0.196375,-0.78960667
1865,4,-0.26,-0.65537333
1865,5,-0.0614375,0.91515333
1865,6,0.915875,1.2387733
1865,7,-0.72916667,-1.6796933
1865,8,-0.2324375,0.00038333333
1865,9,2.6576875,2.7545242
1865,10,-1.1298125,-1.544503
1865,11,-0.65166667,0.19964545
1865,12,-0.40983333,-2.4879533
1866,1,1.1516667,-0.8330882
1866,2,-1.08575,-1.2632473
1866,3,-1.4325,-4.029375
1866,4,1.7891667,0.022011111
1866,5,-0.89283333,-2.0035535
1866,6,-0.69920833,-1.4005111
1866,7,0.72579167,0.68690909
1866,8,-1.4277333,-2.1023659
1866,9,-1.3830667,-2.0720713
1866,10,-0.15926667,0.017117778
1866,11,-0.64183333,0.16523056
1866,12,-1.6365,-1.0609944
1867,1,-2.179375,-2.0775675
1867,2,3.3315833,1.5919206
1867,3,-4.2557083,-6.4950516
1867,4,-0.28625,-1.4086429
1867,5,-2.1814375,-3.2104524
1867,6,0.3759375,0.1815
1867,7,-1.059375,-1.0998716
1867,8,0.84058333,0.33123701
1867,9,1.13825,0.70607099
1867,10,-0.101125,0.20368827
1867,11,0.2065,0.53602639
1867,12,0.61983333,0.70240926
1868,1,-1.836375,-2.8330522
1868,2,0.01875,-1.2604444
1868,3,2.5381,1.4516424
1868,4,-0.645,-1.8780216
1868,5,0.42875,-0.20157407
1868,6,0.6009375,0.22362654
1868,7,1.882125,1.8599947
1868,8,-1.191725,-0.98691456
1868,9,-1.8711,-2.5647103
1868,10,-1.32765,-2.2221726
1868,11,-2.6088,-2.3665622
1868,12,-2.79328,-2.1323955
1869,1,3.15914,1.8039286
1869,2,1.3324,-0.56067076
1869,3,-1.9525,-2.642914
1869,4,-0.89502,-2.235532
1869,5,-1.63964,-1.326935
1869,6,-1.67375,-1.4331551
1869,7,-1.14325,-1.1512963
1869,8,0.66010833,0.16081111
1869,9,-1.7564167,-0.57270732
1869,10,-5.9855208,-4.0651611
1869,11,-3.456125,-2.6909731
1869,12,-0.95495,-0.51908704
1870,1,2.7189167,1.037065
1870,2,0.59266667,1.7933788
1870,3,-2.624625,-2.932572
1870,4,-0.352,1.1048886
1870,5,1.0024375,1.8818647
1870,6,-0.2855625,1.1974275
1870,7,0.43570833,0.88170833
1870,8,-0.52552083,-0.81026086
1870,9,0.45816667,0.79306799
1870,10,-0.099604167,0.13431029
1870,11,-0.72204167,1.2755672
1870,12,-2.4293958,-0.58522121
1871,1,2.258,1.3682928
1871,2,2.8787917,1.1144116
1871,3,2.3515,1.1685069
1871,4,1.7262333,0.77662731
1871,5,0.49486667,1.2031009
1871,6,1.3892,1.5211931
1871,7,-0.68320833,0.092416204
1871,8,0.54925,0.37651915
1871,9,-1.476625,-0.13695139
1871,10,0.6387,0.19419815
1871,11,-1.6369333,-3.1824487
1871,12,-1.2332667,-1.3828632
1872,1,-1.2954444,-1.1526131
1872,2,-0.080166667,-0.0099196429
1872,3,-2.6416667,-2.2111337
1872,4,1.0666,-0.58355667
1872,5,1.0057389,0.66877778
1872,6,0.46483889,0.5615873
1872,7,-0.17485556,-0.63294222
1872,8,0.24894048,-0.22578741
1872,9,-0.22074603,-0.44550556
1872,10,-1.4263143,-0.53977241
1872,11,-4.0872063,-4.0627912
1872,12,-3.5214325,-3.2540644
1873,1,-1.2871548,-0.8620217
1873,2,1.0822976,-1.4185352
1873,3,-1.3743214,-0.0013081232
1873,4,-0.73597619,-2.1377037
1873,5,0.25254762,-0.99518039
1873,6,0.66209524,0.81586193
1873,7,-0.28353571,-0.027910288
1873,8,-0.091464286,0.19928767
1873,9,-0.65059921,-0.56746893
1873,10,-2.2603373,-1.7071214
1873,11,-2.0966905,-1.0279917
1873,12,0.91111905,-0.95309471
1874,1,2.0748413,1.1520808
1874,2,1.6588889,-1.3980492
1874,3,0.97351587,-1.7858948
1874,4,-2.0041071,-2.7475634
1874,5,0.97770238,0.80315909
1874,6,1.8481429,0.21662834
1874,7,0.21290079,0.43849524
1874,8,0.5723373,0.51527651
1874,9,0.45026984,-0.031547619
1874,10,-0.1785619,0.093408829
1874,11,0.21774762,-1.239869
1874,12,1.3985381,0.11423373
1875,1,-0.36730952,-5.405071
1875,2,-1.4502619,-4.4409589
1875,3,-0.093452381,-3.0767634
1875,4,-1.931625,-2.022841
1875,5,0.924425,0.41481353
1875,6,0.97914167,-0.16483492
1875,7,0.75139167,-0.90256587
1875,8,-1.790025,-0.91334709
1875,9,-1.4230667,-0.80774444
1875,10,-2.17375,-0.52350262
1875,11,0.434,-2.6748704
1875,12,3.3841083,2.2239356
1876,1,5.1890333,1.198603
1876,2,2.4775583,0.020112441
1876,3,-1.6686417,-3.2908586
1876,4,0.29229167,-0.49263483
1876,5,0.62270952,-0.17011942
1876,6,0.31895833,0.10523652
1876,7,0.98755714,0.14213027
1876,8,0.42498571,-0.17568591
1876,9,-0.54686905,-0.70562414
1876,10,-1.8916929,-1.1646341
1876,11,-1.9214405,-2.2329444
1876,12,-4.8143857,-3.7440048
1877,1,0.74838333,-1.3717537
1877,2,1.2613857,2.2839613
1877,3,-1.430775,-0.91869547
1877,4,-0.5526881,-1.0603179
1877,5,-0.75754286,-0.21315899
1877,6,0.785325,-0.77419406
1877,7,0.99994167,-0.29955844
1877,8,-0.14365833,0.09208312
1877,9,0.01105,-0.0040224664
1877,10,0.5035619,-1.1159266
1877,11,-1.276931,-1.1430715
1877,12,2.4904586,2.7083004
1878,1,0.47938333,1.1900198
1878,2,0.8556119,2.3375011
1878,3,3.0181333,3.1103036
1878,4,2.1044262,1.3212077
1878,5,0.93120905,-0.87390247
1878,6,-0.0031507937,-0.056771955
1878,7,1.4217282,0.32056058
1878,8,1.2615734,0.76531682
1878,9,-0.0496875,-0.78120061
1878,10,-0.27957639,-1.2523043
1878,11,-0.23690278,0.78219666
1878,12,-3.2118778,-2.0640925
1879,1,0.13575556,-1.0461781
1879,2,-0.62766852,-1.02028
1879,3,1.8192907,1.4290449
1879,4,-0.65931647,0.6660232
1879,5,1.0827837,1.0248188
1879,6,-0.0725,-0.062436446
1879,7,0.68968519,0.35600535
1879,8,-1.3907088,-0.43967053
1879,9,-1.4630026,-0.21255297
1879,10,2.5246583,0.75533754
1879,11,1.15075,-0.82907811
1879,12,2.2904361,-2.2364675
1880,1,7.1567374,3.2735327
1880,2,2.3866611,-1.0336853
1880,3,0.93778889,-2.5626431
1880,4,1.1518278,-0.76040874
1880,5,1.9064704,1.1078502
1880,6,0.38352778,0.40198897
1880,7,-0.38569444,-0.75580978
1880,8,-0.0069583333,-1.0900693
1880,9,-1.2825657,-0.87386774
1880,10,-0.98496667,-1.9246929
1880,11,-4.2059048,-5.5198588
1880,12,-2.1492528,-2.5959469
1881,1,-1.7462,-3.3012315
1881,2,-0.29235,-1.3627882
1881,3,-1.9657167,-0.82637251
1881,4,-1.496987,-0.23825047
1881,5,1.8448264,1.1463664
1881,6,1.6744792,0.54490755
1881,7,1.5487381,-0.1091003
1881,8,1.5891175,0.087841254
1881,9,2.1830798,-0.2480674
1881,10,3.2832222,-0.92383289
1881,11,-0.026071825,-2.2182907
1881,12,3.3394764,2.5955231
1882,1,3.9373264,0.42226502
1882,2,4.6671528,0.66126201
1882,3,2.4706389,-0.48844686
1882,4,1.2851442,-0.76796813
1882,5,-1.4057968,-1.7508008
1882,6,1.0895346,-0.43811294
1882,7,-0.97684145,-1.1324014
1882,8,-0.55005851,-0.38948748
1882,9,0.025172106,-0.47476774
1882,10,2.288072,-0.63737161
1882,11,-0.67042222,-1.7058518
1882,12,-0.93797854,-0.055934841
1883,1,0.68145328,-3.7677837
1883,2,2.4009318,-4.2863288
1883,3,-1.4909813,-1.3727114
1883,4,0.67599405,-1.4003077
1883,5,-0.27573452,-1.4578647
1883,6,0.76557083,0.16563283
1883,7,0.55272778,-0.74107382
1883,8,-0.41534821,-0.9246459
1883,9,-0.5352756,-0.72298936
1883,10,2.2306082,-2.1724811
1883,11,0.63407778,-0.97570967
1883,12,2.0135972,0.14654024
1884,1,-2.7831667,-2.4262514
1884,2,2.9052202,-3.5339329
1884,3,0.60439722,-1.9808874
1884,4,-0.74144698,-1.320585
1884,5,0.56165001,-0.1941712
1884,6,-0.67930076,-0.023427479
1884,7,0.31641021,-1.5384025
1884,8,-0.59644108,-0.88061621
1884,9,1.8626602,-0.58717746
1884,10,2.6691768,0.14979819
1884,11,-1.1296381,-0.48990161
1884,12,0.16281796,-3.0386696
1885,1,-1.0366493,-2.5920699
1885,2,-3.2766214,-2.6620526
1885,3,-3.0545721,-1.0378063
1885,4,0.18305118,0.16798853
1885,5,-0.49897277,-0.87849479
1885,6,0.63611705,-0.86735455
1885,7,0.49866677,-0.53737405
1885,8,-0.034205026,-1.1144026
1885,9,-0.16912921,-0.58647414
1885,10,-1.9795748,-1.3145882
1885,11,-0.92498942,0.54573703
1885,12,-0.26018191,1.5938092
1886,1,-3.0659337,-3.7814204
1886,2,-1.3602222,0.34647862
1886,3,-1.319356,-1.6136595
1886,4,0.60208517,0.0103153
1886,5,1.0596831,1.2959705
1886,6,-0.30412197,-0.12643022
1886,7,-0.34626657,0.61923784
1886,8,0.33535324,0.22210531
1886,9,0.83575488,-0.43660452
1886,10,0.2422381,0.096889755
1886,11,-1.6204167,-2.2559124
1886,12,-2.599598,-0.80578007
1887,1,-0.44962583,-1.3723621
1887,2,3.9578208,-3.2578757
1887,3,-0.0012391534,0.20953345
1887,4,0.32240476,-0.28037681
1887,5,2.0373668,1.404268
1887,6,0.54529352,0.23459447
1887,7,1.0649243,-0.12550728
1887,8,0.35284725,-1.085136
1887,9,0.34530186,-0.23099789
1887,10,-1.2616081,-1.6903286
1887,11,-0.91072044,-0.52105821
1887,12,-1.0247845,-1.3310031
1888,1,0.043920707,-4.2713314
1888,2,1.3711725,0.35797558
1888,3,-1.7590976,-3.3325474
1888,4,1.5857546,1.1515174
1888,5,-0.21451508,-1.0075846
1888,6,0.50201696,-0.14966717
1888,7,0.86616184,-0.096646506
1888,8,0.14091153,-0.43107524
1888,9,-1.2976944,0.5206311
1888,10,-1.3484977,-0.51555136
1888,11,-0.44247564,-0.51034579
1888,12,0.086778571,1.7043476
1889,1,2.009728,-0.39053308
1889,2,-1.0774191,-2.418022
1889,3,-0.25881031,1.5121814
1889,4,0.52404276,1.5006841
1889,5,-0.30606871,-0.095670251
1889,6,-1.1189191,0.025963803
1889,7,0.0018940321,-0.3732551
1889,8,-1.2110151,-0.076394865
1889,9,-1.0404971,-1.0999344
1889,10,-1.3082284,-0.40821348
1889,11,-1.4711566,-1.4770452
1889,12,7.1351902,3.6016268
1890,1,6.2507423,-1.5572119
1890,2,4.8162162,-1.0246588
1890,3,-1.8768695,-1.1771152
1890,4,0.58125019,0.51680177
1890,5,-0.22109812,-0.031097591
1890,6,1.7399205,-0.047245852
