Year,Month,Tin,Tout
1894,10,0.10857143,-0.065426828
1894,11,-1.1762857,0.20164634
1894,12,1.0465714,0.58603657
1895,1,-1.1508571,-1.5186585
1895,2,-5.6459999,-3.4659146
1895,3,-0.13514285,-0.61945121
1895,4,0.32399999,1.3814024
1895,5,-0.36428571,0.14347561
1895,6,0.51114285,-0.54743901
1895,7,-0.77314284,-1.4294512
1895,8,0.096571426,-0.23737804
1895,9,1.8691428,0.26475609
1895,10,-2.6002857,-1.6164024
1895,11,-0.6182857,-1.4125609
1895,12,-0.19885714,-0.67737803
1896,1,0.59771427,1.3461585
1896,2,0.53542856,0.7062195
1896,3,-1.7225714,-1.5264024
1896,4,2.9191428,0.2329878
1896,5,3.0511428,0.80439023
1896,6,0.16371428,0.81347559
1896,7,0.58599999,-0.12725609
1896,8,1.114,-0.024451219
1896,9,-0.22971428,-1.1910975
1896,10,-0.92399998,-1.3395122
1896,11,1.2788571,-2.477317
1896,12,0.77714284,1.5827439
1897,1,-0.91514284,-0.80981706
1897,2,1.4471428,-0.73518291
1897,3,2.2062857,-1.942378
1897,4,-0.5302857,0.19335365
1897,5,-1.152,0.87414632
1897,6,0.94314284,-0.68140242
1897,7,0.78057141,-0.38158536
1897,8,-0.26571428,-0.36768292
1897,9,1.2402857,0.90213413
1897,10,2.4648571,0.014146341
1897,11,0.34885714,-0.65073169
1897,12,-0.53885713,-1.4450609
1898,1,3.0125714,-0.072378047
1898,2,0.25914285,0.80542681
1898,3,2.066,-0.28939024
1898,4,-2.2531428,0.41414633
1898,5,1.122,-0.61304877
1898,6,1.2248571,0.10091463
1898,7,-0.10942857,-0.23701219
1898,8,0.0097142855,0.54054877
1898,9,1.1111428,0.165
1898,10,-1.1262857,-1.6254878
1898,11,-2.012,-1.7913414
1898,12,-2.0688571,-2.5237195
1899,1,0.18028571,0.12451219
1899,2,-5.2722856,-4.567256
1899,3,-0.57342856,-2.2014634
1899,4,-0.74114284,-0.024329268
1899,5,2.078,-0.75103657
