1750,267597.773611502
1751,271628.459087082
1752,276715.860617908
1753,279651.916907639
1754,283636.874322346
1755,287598.655980686
1756,292663.150332287
1757,295436.044453935
1758,299303.083377274
1759,303130.017165246
1760,308102.154284887
1761,311699.606364406
1762,316449.510634009
1763,321178.852536378
1764,327167.847502193
1765,330644.898259459
1766,335416.982504813
1767,340240.742743864
1768,346472.110502687
1769,350117.291105974
1770,355208.163543061
1771,361748.387991586
1772,369778.966590599
1773,374946.316921707
1774,381465.579060139
1775,387836.04269492
1776,395512.578617984
1777,399831.821413863
1778,405301.305647847
1779,410309.57436168
1780,416378.486837242
1781,420415.172771603
1782,425686.023890173
1783,430856.551309008
1784,437909.535947416
1785,442092.1806829
1786,448780.808383022
1787,456616.245889873
1788,467734.038413575
1789,477056.274129636
1790,490280.886162663
1791,514561.338883535
1792,543451.056557888
1793,570394.819850255
1794,601477.736526867
1795,634336.197171616
1796,671336.041886012
1797,704285.357138355
1798,740860.576200677
1799,778197.291486679
1800,1435019.78544138
1801,1519873.66092445
1802,1624073.04640547
1803,1693591.19807428
1804,1843542.71976077
1805,1909568.02720801
1806,1947068.76878232
1807,2114041.23666525
1808,2217703.23507712
1809,2298724.00020065
1810,2399754.67519641
1811,2554890.39511502
1812,2742153.38121943
1813,2913337.81368854
1814,3106665.04541061
1815,3302608.16278125
1816,3569747.14832124
1817,3794748.08976911
1818,4052655.43861156
1819,4102836.50169064
1820,4291210.72440116
1821,4762545.88465768
1822,4969820.52501533
1823,5210981.66881598
1824,5625487.81168258
1825,6072576.08991745
1826,6697305.89773326
1827,7481455.04865513
1828,8469723.1868103
1829,9273609.85527191
1830,10109717.4065995
1831,10668783.4660711
1832,13292488.5265512
1833,14938080.7214765
1834,14903634.9224043
1835,17772928.2042549
1836,19477992.9756864
1837,20839508.059909
1838,20622844.3085668
1839,22463855.7168113
1840,23524815.628054
1841,25248408.9017081
1842,27862881.1197692
1843,30532984.9759357
1844,35207737.6706285
1845,40960993.4325622
1846,44927298.6344173
1847,51552601.3022177
1848,57199553.5963096
1849,60785349.4720836
1850,64182732.692593
1851,77506663.8329027
1852,83777446.0570335
1853,92835333.2534144
1854,101614032.25618
1855,115591685.98393
1856,119316832.422916
1857,119630008.300028
1858,118983973.254219
1859,126100414.989033
1860,129050604.10643
1861,120960885.109484
1862,122828785.589026
1863,137007168.405592
1864,143012494.778852
1865,139653137.027827
1866,140160911.898225
1867,170573624.27598
1868,192708662.633098
1869,215405936.742365
1870,226133903.247733
1871,237217319.567643
1872,289453534.728451
1873,318424457.287403
1874,310221575.197798
1875,317296350.589915
1876,317973239.69749
1877,353647983.450574
1878,351727525.803363
1879,430169896.90651
1880,492655746.219375
1881,516562636.007831
1882,573110006.88667
1883,619702204.118411
1884,650409037.057418
1885,651278843.970245
1886,660404494.869813
1887,690529183.001345
1888,823889588.849838
1889,733079498.235531
1890,859437494.466995
1891,919996170.573007
1892,985662313.426988
1893,983168978.838258
1894,926945278.971277
1895,1040666556.29248
1896,1066492009.93331
1897,1122115028.8262
1898,1233644005.34829
1899,1414689326.87767
1900,1510941833.30656
1901,1647600730.05907
1902,1744733139.74568
1903,2014002580.9316
1904,2025534799.92531
1905,2264045402.85129
1906,2409412815.97894
1907,2726601626.27814
1908,2401982837.9113
1909,2717109827.89729
1910,2932625163.94049
1911,2850497888.44068
1912,3044494411.92847
1913,3180114065.79197
1914,2854749264.34962
1915,2974502396.75332
1916,3457353486.73123
1917,3755506319.39403
1918,3872083742.90976
1919,3157395467.72798
1920,3565588768.52616
1921,2674176837.15367
1922,2754289230.22386
1923,3718164339.65245
1924,3374992530.89609
1925,3406465350.42364
1926,3765322758.29178
1927,3683971603.04594
1928,3722845561.55104
1929,4028002526.87211
1930,3525905535.9396
1931,2859609392.64961
1932,2250753715.11219
1933,2450784428.7423
1934,2677453659.5361
1935,2852769375.55993
1936,3384686595.75289
1937,3576616995.43999
1938,2854997930.52777
1939,3275584642.95269
1940,3764489679.3214
1941,4321409998.74297
1942,4808046509.22319
1943,4997879727.07618
1944,5303406004.46741
1945,5044699533.72171
1946,4810490425.21558
1947,5661048428.69318
1948,5888246793.68058
1949,4130809032.53274
1950,4449025504.74764
1951,4775069853.55205
1952,4683060431.18616
1953,4878942369.09066
1954,4663768602.89686
1955,5347104998.58068
1956,5688480876.24702
1957,5612414881.72385
1958,5351508862.12362
1959,5404521155.23479
1960,5704847293.17773
1961,5896355088.6553
1962,6140759314.19727
1963,6471169684.89884
1964,6816562719.21546
1965,7229130449.36105
1966,7693546700.89166
1967,7509011511.18787
1968,8136570279.36505
1969,8602031541.76343
1970,9288267227.4019
1971,8936882521.37144
1972,9201671971.83392
1973,9735148205.33142
1974,9254597500.13109
1975,8860416475.76785
1976,9240501374.34089
1977,9144439191.06752
1978,8431472537.1566
1979,8593636295.73686
1980,8497910115.60129
1981,8112879152.52225
1982,7772175192.14946
1983,7637622054.55851
1984,8071088953.04563
1985,8069344362.81272
1986,7748339752.73727
1987,7852949019.12983
1988,8008187961.94113
1989,8038708141.2049
1990,7991141553.05263
1991,7820359669.65644
1992,7760748750.489
1993,7610491372.79638
1994,7495022825.33062
1995,6528520803.72387
1996,6599972560.69599
1997,6757341912.02891
1998,6094108223.18828
1999,5609346013.83358
2000,5225298455.35281
2001,5069112271.04304
2002,4726670361.56141
2003,4656931923.67153
2004,4620378027.75778
2005,4648018691.60917
2006,4276791853.53092
2007,3940464391.1077
2008,3521911893.66844
2009,3071240676.80421
2010,2608105055.48592
2011,2153850987.18533
2012,1527420168.06287
