Year,Month,Day,LWA_Anticylonic,LWA_Cylonic
1987,4,16,3039200.50045,5056799.64028
1987,4,17,3094505.78291,2879009.63772
1987,4,18,2801379.2179,3535628.03114
1987,4,19,2214572.18115,4339938.7211
1987,4,20,2049249.36802,3037726.38182
1987,4,21,2070178.19855,2699758.40083
1987,4,22,2064996.7169,4467314.02897
1987,4,23,3062382.42243,5632447.76377
1987,4,24,3330387.25874,5042072.88366
1987,4,25,2828939.94451,5070226.3433
1987,4,26,2661989.87011,4487049.99188
1987,4,27,4006578.9424,3083165.3834
1987,4,28,4808123.23024,3523293.25591
1987,4,29,4528842.17666,4084403.59901
1987,4,30,4269071.97523,4199751.20282
1987,5,1,4590446.56551,7589966.68639
1987,5,2,5541803.59152,7062511.36797
1987,5,3,6106798.10633,4859388.75665
1987,5,4,5428819.89928,8722865.41836
1987,5,5,4135668.88478,10202710.2835
1987,5,6,4149221.99845,5869668.78298
1987,5,7,3698185.90829,3876180.8269
1987,5,8,2733282.43068,4147659.32296
1987,5,9,2452582.21399,4510301.0726
1987,5,10,2820979.51198,3829827.37578
1987,5,11,3500821.93999,3459265.5343
1987,5,12,3693872.11372,2998295.977
1987,5,13,3493189.09089,3881549.69673
1987,5,14,3591983.80097,3616636.3469
1987,5,15,3366612.7988,2397192.41104
1987,5,16,3574965.55224,2651412.537
1987,5,17,3548080.09199,4114746.12999
1987,5,18,3345205.89915,5343693.3455
1987,5,19,4271667.38919,5262074.34259
1987,5,20,5385953.60366,4822032.87938
1987,5,21,5948802.84354,4131002.01565
1987,5,22,5105096.70858,4595607.46615
1987,5,23,4384134.3448,5013253.10156
1987,5,24,4087460.09502,4595322.72041
1987,5,25,4157851.55089,3992437.30103
1987,5,26,4081154.62279,4552731.56402
1987,5,27,3187320.39093,6131058.10443
1987,5,28,2837431.83311,5762516.3981
1987,5,29,2295472.45562,5317169.45309
1987,5,30,1816821.92979,5800136.09697
1987,5,31,1782857.03884,4294424.78751
1987,6,1,1694600.36896,3456775.04756
1987,6,2,1683056.66901,4390619.92874
1987,6,3,2014600.77073,4654782.89893
1987,6,4,2091679.73497,5529582.99822
1987,6,5,1919649.85256,5131083.34413
1987,6,6,2330878.48008,4995775.55707
1987,6,7,3649401.47076,3617039.22066
1987,6,8,3403067.81329,4357341.23017
1987,6,9,2478100.35134,5442781.19601
1987,6,10,3225137.17014,6073650.18456
1987,6,11,4787519.35061,10978919.444
1987,6,12,5525022.66031,9819183.81441
1987,6,13,4934450.4795,3144579.57509
1987,6,14,3885852.33894,2753866.61823
1987,6,15,3768751.73189,2470548.04066
1987,6,16,3656237.7964,3287133.24262
1987,6,17,4480737.37047,4159507.92076
1987,6,18,5086929.77776,3619181.10132
1987,6,19,4768591.87755,3180498.26894
1987,6,20,4485467.99495,4518452.60559
1987,6,21,4568762.15801,5063722.47505
1987,6,22,4884621.6883,6068413.72169
1987,6,23,4754981.64433,8433085.32121
1987,6,24,4430178.91999,6523378.41548
1987,6,25,4063854.93864,6429397.17668
1987,6,26,4130644.67898,8519718.57203
1987,6,27,5045880.76191,11310408.7925
1987,6,28,6382781.20596,9854399.28114
1987,6,29,7719868.54013,7347642.48906
1987,6,30,6702480.9802,5792875.7082
1987,7,1,4511094.75977,4068366.59185
1987,7,2,4319179.33636,3172456.54716
1987,7,3,4534373.98747,2921575.29753
1987,7,4,4169042.10871,2672213.54167
1987,7,5,3919224.47877,2714025.28836
1987,7,6,4453614.26593,3042787.64705
1987,7,7,4987251.58429,3303866.63531
1987,7,8,4705093.97764,2996360.96842
1987,7,9,4622743.9009,2373151.14804
1987,7,10,4665570.04551,2070829.29905
1987,7,11,4734243.15139,2341954.71904
1987,7,12,4815205.22295,2615115.29932
1987,7,13,4934479.93739,2614406.02063
1987,7,14,5094226.44473,3298813.09144
1987,7,15,5752731.21539,4869783.16116
1987,7,16,6192119.61113,6381895.5848
1987,7,17,6806849.21645,6805900.09473
1987,7,18,7702691.24296,6161994.72159
1987,7,19,8523694.65321,4673025.07309
1987,7,20,9540403.28418,3069848.07499
1987,7,21,9687114.10716,1788183.40036
1987,7,22,8483848.1807,1476934.76879
1987,7,23,7482892.03592,1660681.5582
1987,7,24,9290759.56116,3040027.28229
1987,7,25,9169401.0792,4728378.82782
1987,7,26,6702016.31522,5587472.97909
1987,7,27,5309671.75523,6740376.47883
1987,7,28,5640339.51795,7218140.83286
1987,7,29,7804850.27649,5493705.32221
1987,7,30,9737153.25397,4285953.60819
1987,7,31,9298214.36042,4000661.53833
1987,8,1,7344560.03665,4387257.20701
1987,8,2,6189627.78324,4592639.92223
1987,8,3,6101900.50957,3537889.38259
1987,8,4,7331981.28133,3478059.80187
1987,8,5,6902310.19165,3497459.16714
1987,8,6,7425929.30114,3115359.44436
1987,8,7,9699206.85302,2822883.08018
1987,8,8,9605332.21934,2173598.81895
1987,8,9,7805529.61768,3112742.46113
1987,8,10,6697172.27659,5176750.87616
1987,8,11,6425355.52452,4761096.98297
1987,8,12,6232702.17921,3877868.86569
1987,8,13,7237946.78388,3362308.97465
1987,8,14,7920834.41355,2127812.96904
1987,8,15,8304668.0871,1515914.06661
1987,8,16,8633476.55632,1594881.23421
1987,8,17,7454811.12289,2058271.01486
1987,8,18,6263663.27589,2754040.1699
1987,8,19,5852243.66691,3933844.68936
1987,8,20,6047966.44149,3636496.00819
1987,8,21,5273948.56822,2238020.70405
1987,8,22,4826166.49341,2430664.95771
1987,8,23,4282016.78546,4011142.24761
1987,8,24,4437847.20166,4547284.73043
1987,8,25,4750198.88329,3804551.12094
1987,8,26,4828367.33395,2508611.98665
1987,8,27,4711432.79176,2146704.94025
1987,8,28,4704906.2938,1953537.31275
1987,8,29,4425592.53886,2045677.71211
1987,8,30,4287115.07027,2357150.90373
1987,8,31,4485471.8985,2415639.95122
1987,9,1,4531968.32792,2341304.38411
1987,9,2,3983864.72682,2470995.98743
1987,9,3,4249263.39044,2880157.00489
1987,9,4,4307768.11543,2878687.72365
1987,9,5,4689787.48242,2300463.29363
1987,9,6,5978574.54197,2143049.94755
1987,9,7,7185231.34689,2272415.45846
1987,9,8,6460332.57268,2000651.60829
1987,9,9,4898185.31566,1797368.69498
1987,9,10,4034650.92615,1782372.63836
1987,9,11,3508182.46952,2084455.95222
1987,9,12,4089614.04883,2798929.53026
1987,9,13,4522585.55697,2175786.04738
